,year,Total cattle and meat exports,Total cocoa exports,Total wood exports,Total rubber exports,Total soy exports,Total coffee exports,Total Cerrado Deforestation
4,2005,347223886,11796841,1510529990,8380710,10578098268,805341857,16763.469800269402
5,2006,402184897,4728620,1485337691,7352678,10235240836,882079832,16763.469800269406
6,2007,298904355,6173484,1703561533,7192848,9566550823,885268307,13236.536323209171
7,2008,131244546,3440790,1289000503,6955120,8905837209,960839166,13236.536323209177
8,2009,141856730,2218184,793340524,4980490,8209372991,924066608,9854.53947348266
9,2010,157676948,3913651,839229700,4689969,5382201142,983263147,9854.53947348266
10,2011,149699428,3643491,688354410,4578884,5039373137,937782386,8975.341457868664
11,2012,165576376,2994511,538658425,4837059,4905661963,794868454,8975.341457868659
12,2013,204815215,3109887,602499639,4452225,4712690216,889470974,13311.985691548129
13,2014,168533544,3877478,728468187,5727633,5840593175,1054021330,10713.974121438148
14,2015,175599352,10779873,732916151,8699028,5249220189,994700074,11128.224357771436
15,2016,183318322,7186578,824369325,7935520,4886706752,960803545,7203.916409763923
16,2017,197854084,5964441,784271090,6388212,4547702137,847401443,7115.333111293588
17,2018,205809882,5543345,1174466870,5829069,4699354179,923441394,7061.731261620484
18,2019,199438562,5635266,1151355145,4954653,4793449815,1091171918,6314.764680089596
19,2020,183521508,5743666,1276985259,3038644,7725974651,1160074856,7592.580041362471
20,2021,161631380,4102054,1887586070,24934554,8421310136,1050041310,8339.261430409584
21,2022,164653774,5088924,2789084023,31329261,7119229419,1075145114,10445.067067337905
