,year,Deforestation Cerrado
0,2001,26801.8895631231
1,2002,26801.889563123084
2,2003,28649.906589233924
3,2004,28649.90658923394
4,2005,16763.46980026941
5,2006,16763.469800269402
6,2007,13236.536323209182
7,2008,13236.536323209197
8,2009,9854.53947348267
9,2010,9854.53947348266
10,2011,8975.34145786865
11,2012,8975.341457868653
12,2013,13311.985691548136
13,2014,10713.974121438167
14,2015,11128.22435777144
15,2016,7203.916409763932
16,2017,7115.333111293576
17,2018,7061.73126162048
18,2019,6314.764680089591
19,2020,7592.580041362465
20,2021,8339.261430409599
21,2022,10445.06706733791
