year,areakm,municipality,geocode_ibge,state
2000,16.17276240205077,Angical,2901403,Bahia
2001,17.370923106924845,Angical,2901403,Bahia
2002,18.569083811798922,Angical,2901403,Bahia
2003,19.03131212874307,Angical,2901403,Bahia
2004,19.49354044568722,Angical,2901403,Bahia
2005,23.302735569491734,Angical,2901403,Bahia
2006,27.111930693296248,Angical,2901403,Bahia
2007,32.84531817515153,Angical,2901403,Bahia
2008,38.578705657006815,Angical,2901403,Bahia
2009,41.54685583775062,Angical,2901403,Bahia
2010,44.515006018494425,Angical,2901403,Bahia
2011,47.1725773978777,Angical,2901403,Bahia
2012,49.83014877726098,Angical,2901403,Bahia
2013,52.83237530341676,Angical,2901403,Bahia
2014,53.320729863795,Angical,2901403,Bahia
2015,55.06549310076976,Angical,2901403,Bahia
2016,56.001120443441195,Angical,2901403,Bahia
2017,56.93452847092572,Angical,2901403,Bahia
2018,57.92206042811224,Angical,2901403,Bahia
2019,58.247026352459244,Angical,2901403,Bahia
2020,62.158217474873226,Angical,2901403,Bahia
2021,68.49452045631381,Angical,2901403,Bahia
2022,71.61933203622198,Angical,2901403,Bahia
2000,425.66774368356664,Baianópolis,2902500,Bahia
2001,456.30693132778356,Baianópolis,2902500,Bahia
2002,486.9461189720005,Baianópolis,2902500,Bahia
2003,534.8797310643932,Baianópolis,2902500,Bahia
2004,582.813343156786,Baianópolis,2902500,Bahia
2005,626.4951596427493,Baianópolis,2902500,Bahia
2006,670.1769761287126,Baianópolis,2902500,Bahia
2007,717.868781964242,Baianópolis,2902500,Bahia
2008,765.5605877997714,Baianópolis,2902500,Bahia
2009,786.6064150189825,Baianópolis,2902500,Bahia
2010,807.6522422381936,Baianópolis,2902500,Bahia
2011,846.3806497053924,Baianópolis,2902500,Bahia
2012,885.1090571725913,Baianópolis,2902500,Bahia
2013,935.5120915049708,Baianópolis,2902500,Bahia
2014,967.5447050255285,Baianópolis,2902500,Bahia
2015,1055.5084634729271,Baianópolis,2902500,Bahia
2016,1082.6140597305312,Baianópolis,2902500,Bahia
2017,1122.542450670807,Baianópolis,2902500,Bahia
2018,1150.225505304361,Baianópolis,2902500,Bahia
2019,1162.6613023219827,Baianópolis,2902500,Bahia
2020,1182.7942635618565,Baianópolis,2902500,Bahia
2021,1255.4609705236612,Baianópolis,2902500,Bahia
2022,1307.524550675556,Baianópolis,2902500,Bahia
2000,2395.2127937028285,Barreiras,2903201,Bahia
2001,2497.786287257331,Barreiras,2903201,Bahia
2002,2600.3597808118334,Barreiras,2903201,Bahia
2003,2719.0023932634294,Barreiras,2903201,Bahia
2004,2837.645005715025,Barreiras,2903201,Bahia
2005,2944.0561912145736,Barreiras,2903201,Bahia
2006,3050.467376714122,Barreiras,2903201,Bahia
2007,3143.5460009983644,Barreiras,2903201,Bahia
2008,3236.6246252826068,Barreiras,2903201,Bahia
2009,3329.642562306366,Barreiras,2903201,Bahia
2010,3422.6604993301253,Barreiras,2903201,Bahia
2011,3592.071684310352,Barreiras,2903201,Bahia
2012,3761.4828692905785,Barreiras,2903201,Bahia
2013,3864.6403887750776,Barreiras,2903201,Bahia
2014,3902.504702843565,Barreiras,2903201,Bahia
2015,3969.422742942868,Barreiras,2903201,Bahia
2016,4026.479933271048,Barreiras,2903201,Bahia
2017,4087.5103941502725,Barreiras,2903201,Bahia
2018,4161.793595348445,Barreiras,2903201,Bahia
2019,4227.617900319718,Barreiras,2903201,Bahia
2020,4270.4017019444655,Barreiras,2903201,Bahia
2021,4330.970064722821,Barreiras,2903201,Bahia
2022,4471.3167052335475,Barreiras,2903201,Bahia
2000,3.019152885993288,Bom Jesus da Lapa,2903904,Bahia
2001,3.074312055273045,Bom Jesus da Lapa,2903904,Bahia
2002,3.1294712245528022,Bom Jesus da Lapa,2903904,Bahia
2003,3.175799497087779,Bom Jesus da Lapa,2903904,Bahia
2004,3.2221277696227557,Bom Jesus da Lapa,2903904,Bahia
2005,3.327233362185148,Bom Jesus da Lapa,2903904,Bahia
2006,3.4323389547475407,Bom Jesus da Lapa,2903904,Bahia
2007,3.4457810258909647,Bom Jesus da Lapa,2903904,Bahia
2008,3.4592230970343887,Bom Jesus da Lapa,2903904,Bahia
2009,3.4882180010328616,Bom Jesus da Lapa,2903904,Bahia
2010,3.5172129050313345,Bom Jesus da Lapa,2903904,Bahia
2011,3.5172129050313345,Bom Jesus da Lapa,2903904,Bahia
2012,3.5172129050313345,Bom Jesus da Lapa,2903904,Bahia
2013,3.5172129050313345,Bom Jesus da Lapa,2903904,Bahia
2014,3.5172129050313345,Bom Jesus da Lapa,2903904,Bahia
2015,3.5172129050313345,Bom Jesus da Lapa,2903904,Bahia
2016,3.5317201780362986,Bom Jesus da Lapa,2903904,Bahia
2017,3.5317201780362986,Bom Jesus da Lapa,2903904,Bahia
2018,3.5434940034487665,Bom Jesus da Lapa,2903904,Bahia
2019,3.5434940034487665,Bom Jesus da Lapa,2903904,Bahia
2020,3.5899496411894374,Bom Jesus da Lapa,2903904,Bahia
2021,3.5899496411894374,Bom Jesus da Lapa,2903904,Bahia
2022,3.6124929519199886,Bom Jesus da Lapa,2903904,Bahia
2000,21.500741272559516,Boquira,2904100,Bahia
2001,22.93127255394075,Boquira,2904100,Bahia
2002,24.361803835321986,Boquira,2904100,Bahia
2003,25.02658783753794,Boquira,2904100,Bahia
2004,25.69137183975389,Boquira,2904100,Bahia
2005,26.14852218358762,Boquira,2904100,Bahia
2006,26.605672527421348,Boquira,2904100,Bahia
2007,27.258897303503158,Boquira,2904100,Bahia
2008,27.912122079584968,Boquira,2904100,Bahia
2009,28.314868033075523,Boquira,2904100,Bahia
2010,28.71761398656608,Boquira,2904100,Bahia
2011,28.71761398656608,Boquira,2904100,Bahia
2012,28.71761398656608,Boquira,2904100,Bahia
2013,29.655614012421722,Boquira,2904100,Bahia
2014,29.965267238133578,Boquira,2904100,Bahia
2015,29.965267238133578,Boquira,2904100,Bahia
2016,30.03596736006338,Boquira,2904100,Bahia
2017,30.03596736006338,Boquira,2904100,Bahia
2018,30.291902468327958,Boquira,2904100,Bahia
2019,30.291902468327958,Boquira,2904100,Bahia
2020,30.484169458170317,Boquira,2904100,Bahia
2021,30.545996694781575,Boquira,2904100,Bahia
2022,30.68197147342446,Boquira,2904100,Bahia
2000,1.02536747976961,Botuporã,2904209,Bahia
2001,1.1220448805106138,Botuporã,2904209,Bahia
2002,1.2187222812516176,Botuporã,2904209,Bahia
2003,1.3141707105064588,Botuporã,2904209,Bahia
2004,1.4096191397613,Botuporã,2904209,Bahia
2005,1.5316425292026106,Botuporã,2904209,Bahia
2006,1.653665918643921,Botuporã,2904209,Bahia
2007,1.846168029762708,Botuporã,2904209,Bahia
2008,2.038670140881495,Botuporã,2904209,Bahia
2009,2.1237045220696587,Botuporã,2904209,Bahia
2010,2.208738903257822,Botuporã,2904209,Bahia
2011,2.208738903257822,Botuporã,2904209,Bahia
2012,2.208738903257822,Botuporã,2904209,Bahia
2013,2.5934734699106095,Botuporã,2904209,Bahia
2014,2.658475588478161,Botuporã,2904209,Bahia
2015,2.658475588478161,Botuporã,2904209,Bahia
2016,2.752136545439764,Botuporã,2904209,Bahia
2017,2.752136545439764,Botuporã,2904209,Bahia
2018,2.7633850534309,Botuporã,2904209,Bahia
2019,2.7633850534309,Botuporã,2904209,Bahia
2020,2.8015600390379745,Botuporã,2904209,Bahia
2021,2.8123179605027797,Botuporã,2904209,Bahia
2022,2.8718243063284032,Botuporã,2904209,Bahia
2000,16.797754897489753,Brejolândia,2904407,Bahia
2001,18.709785953606143,Brejolândia,2904407,Bahia
2002,20.621817009722534,Brejolândia,2904407,Bahia
2003,24.835718581120428,Brejolândia,2904407,Bahia
2004,29.049620152518322,Brejolândia,2904407,Bahia
2005,31.69662532281686,Brejolândia,2904407,Bahia
2006,34.3436304931154,Brejolândia,2904407,Bahia
2007,37.295415368307076,Brejolândia,2904407,Bahia
2008,40.24720024349875,Brejolândia,2904407,Bahia
2009,44.010274846276566,Brejolândia,2904407,Bahia
2010,47.77334944905438,Brejolândia,2904407,Bahia
2011,48.395814718967216,Brejolândia,2904407,Bahia
2012,49.01827998888005,Brejolândia,2904407,Bahia
2013,56.299231409733295,Brejolândia,2904407,Bahia
