Ano;"Bloco Econômico";"Código CUCI Subgrupo";"Descrição CUCI Subgrupo";"Quilograma Líquido"
2019;"União Europeia - UE";2222;Soja;4792451962
2019;"União Europeia - UE";0711;"Café não torrado, mesmo descafeinado";1080687572
2019;"União Europeia - UE";6343;"Madeira compensada, madeira folheada e madeiras estratificadas semelhantes";325345123
2019;"União Europeia - UE";2461;"Madeira em estilhas ou em partículas";257633164
2019;"União Europeia - UE";2462;"Serragem e resíduos de madeira e sucata, mesmo aglomerados em bolas, briquetes, pellets ou em formas semelhantes";161027155
2019;"União Europeia - UE";6114;"Couros e peles de bovinos (incluindo os búfalos) ou de equídeos, curtidos ou em crosta ou não preparados após curtimento ou após secagem, depilados, mesmo divididos";138934626
2019;"União Europeia - UE";2484;"Madeira de espécies não coníferas especificada na posição 2475 serrada ou fendida longitudinalmente, cortada ou desenrolada, mesmo aplainada, polida ou unida pelas extremidades, de espessura superior a 6 mm";114988728
2019;"União Europeia - UE";2485;"Madeira de espécies não coníferas, perfilada (com espigas, ranhuras, filetes, entalhes, chanfrada, com juntas em V, com cercadura, boleada ou semelhantes) ao longo de suas bordas, pontas ou faces, mesmo aplainada, polida ou unida pelas extremidades.";96019935
2019;"União Europeia - UE";2479;"Outras madeiras em bruto ou simplesmente esquadriada";69059930
2019;"União Europeia - UE";0112;"Carne bovina congelada";40793832
2019;"União Europeia - UE";2482;"Madeira de coníferas, serrada ou fendida longitudinalmente, cortada ou desenrolada, mesmo aplainada, polida ou unida pelas extremidades, de espessura superior a 6 mm";36221540
2019;"União Europeia - UE";8215;"Outros móveis, de madeira";25424057
2019;"União Europeia - UE";6359;"Outros artigos manufaturados de madeira";21751293
2019;"União Europeia - UE";0111;"Carne bovina fresca ou refrigerada";19702721
2019;"União Europeia - UE";6349;"Madeira, em forma simples";14713967
2019;"União Europeia - UE";6345;"Painéis de fibras de madeira ou de outras matérias lenhosas, mesmo aglomeradas com resinas ou outras substâncias orgânicas";12245297
2019;"União Europeia - UE";0713;"Extratos, essências e concentrados de café e preparações à base destes produtos ou à base de café, sucedâneos do café e respectivos extractos, essências e concentrados";10437724
2019;"União Europeia - UE";2450;"Lenha (excluindo resíduos de madeira) e carvão vegetal";8849163
2019;"União Europeia - UE";6342;"Madeira densificada e painéis de partículas, painéis de partículas orientadas (OSB) e painéis semelhantes, de madeira ou de outras matérias lenhosas";3589138
2019;"União Europeia - UE";6341;"Folhas para folheados,folhas para contraplacados ou para madeiras estratificadas semelhantes e outras madeiras,serradas longitudinalmente, cortada ou desenrolada,mesmo aplainada,polida ou unidas longitudinalmente ou pelas extremidades, espessura <= 6 mm";2471983
2019;"União Europeia - UE";2322;"Borracha reconstituída, desperdícios e resíduos de borracha não endurecida";2336266
2019;"União Europeia - UE";2483;"Madeira de coníferas, perfilada (com espigas, ranhuras, filetes, entalhes, chanfrada, com juntas em V, com cercadura, boleada ou semelhantes) ao longo de uma ou mais bordas ou faces, mesmo ou não aplainada, polida ou unida pelas extremidades.";1561179
2019;"União Europeia - UE";6211;"Borracha misturada, não vulcanizada, em formas primárias ou em chapas, folhas ou tiras";1493042
2019;"União Europeia - UE";4211;"Óleo de soja e respectivas frações";997853
2019;"União Europeia - UE";6299;"Disco de borracha, obras de borracha endurecida ou de borracha vulcanizada não endurecida";564962
2019;"União Europeia - UE";4222;"Óleo de palma e suas frações";538056
2019;"União Europeia - UE";6354;"Manufaturas de madeira para uso doméstico ou decorativo (exceto móveis)";278158
2019;"União Europeia - UE";6214;"Tubos, canos e mangueiras, de borracha vulcanizada não endurecida, com ou sem seus acessórios (por exemplo, juntas, cotovelos, bridas).";270059
2019;"União Europeia - UE";6213;"Fios e cabos de borracha vulcanizada , chapas, folhas, tiras, varetas e perfis, de borracha vulcanizada não endurecida";258164
2019;"União Europeia - UE";2474;"Madeira de coníferas, em bruto (mesmo descascada ou alburno) ou simplesmente esquadriada, mas não tratada com tinta, corantes ou outros conservantes.";175335
2019;"União Europeia - UE";0712;"Café torrado";46622
2019;"União Europeia - UE";6292;"Correias transportadoras ou de transmissão, de borracha vulcanizada";22756
