Município,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,Product
Abadiânia,0,0,0,0,0,0,0,99,314,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wood
Abaetetuba,0,0,0,2600,0,0,0,0,0,0,0,0,16744,1025452,1570146,1066855,1845998,2042643,1087832,1020638,1936547,2844796,2692869,1666138,2384230,Wood
Abel Figueiredo,1155543,576095,1179920,1327007,119850,154352,22911,38578,103536,331090,99497,0,0,100291,446375,112952,220403,667518,247697,266444,0,0,0,0,0,Wood
Acará,0,0,0,0,0,0,0,0,0,247426,375780,548675,592728,949847,2022749,1632881,0,0,0,0,0,0,0,0,0,Wood
Acrelândia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,455852,161190,536741,25000,0,0,0,0,0,Wood
Afuá,3417034,2277461,0,0,0,0,0,0,0,0,0,0,0,0,0,105560,237955,321845,361836,0,1584587,3560456,6507024,3514204,2191478,Wood
Aguaí,0,0,0,0,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wood
Agudos,20694368,24277399,13010244,34284639,34696389,29088269,17897761,5024439,10216024,11117199,7530755,654006,0,0,0,1,14,0,8624089,15798420,1780884,129760,0,0,3856,Wood
Alagoinhas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2387649,8432648,2998911,0,334335131,206191025,483232141,289573431,Wood
Alambari,0,0,0,857101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wood
Alfenas,0,0,0,430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wood
Almeirim,0,0,0,0,0,0,9028562,18335575,8339736,21676662,25372370,24525379,14378501,16354666,16106237,9122468,4103750,10457926,0,0,0,0,0,0,0,Wood
Alta Floresta,17353328,10263921,9833174,12625629,10211148,9880678,9566807,11314038,9069344,7772071,11519929,11153900,9807813,9440838,15475585,12691813,16078386,25455457,27861038,16173734,12046301,9767893,5512369,4135670,4079245,Wood
Alta Floresta D'Oeste,88280,44860,156320,126908,203930,53020,21850,71480,43000,99670,86910,402920,95000,368384,1139410,1570008,1379390,1805524,1408740,718100,135101,35341,0,71449,25000,Wood
Altamira,79309,642815,432729,793210,951573,255787,0,22973,539362,0,34834,1117894,588707,4385959,13688019,13531734,19255774,20369791,15745605,9155914,6522751,6999219,5312879,1568239,1877741,Wood
Altinópolis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4760,2521,2560,1585,0,0,0,0,Wood
Alto Paraíso,138129,111659,108109,54640,54220,251110,27530,26580,55000,125350,189130,51530,394440,478963,4011435,553544,580700,582410,452700,147750,475676,1849259,3160871,184734,0,Wood
Altos,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wood
Alumínio,0,0,0,0,1149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,402,0,0,3727,Wood
Alvorada D'Oeste,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51590,168330,229350,210550,525600,505500,173958,Wood
Amargosa,0,0,0,0,0,0,0,0,0,0,0,0,0,144900,297868,70001,0,0,0,0,0,0,0,0,0,Wood
Americana,27102,261,21296,83509,901,23352,30270,3923,16848,0,1456,20908,27341,5926,1581,140,0,81880,76976,18225,66750,0,0,0,0,Wood
Amparo,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Wood
Anajás,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91305,834136,1228216,3304715,2136290,0,0,0,0,0,Wood
Ananindeua,22008017,35871998,39534453,41419503,38983455,29953241,35891479,40495246,39578219,49148838,63430129,69462219,63898994,108179807,147237965,155279974,162712030,166885566,133589092,114891102,86578592,73519656,61805083,46273398,72934650,Wood
Anapu,0,969673,1072125,885870,2457571,1502555,750370,0,0,921889,741397,1392058,1738158,5642390,6742369,9050075,9554004,4221565,2716548,1035806,3215126,3191941,2382425,0,0,Wood
Anastácio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,930,0,0,0,0,0,0,0,0,0,Wood
Andradas,0,723,90,1779,742,5824,2152,414,467,228,210,0,0,0,639,619,801,987,0,0,0,0,0,0,0,Wood
Andradina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48600,0,0,0,Wood
Antônio Carlos,0,0,14880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wood
Anápolis,660,348,0,0,0,0,8,0,0,0,0,0,0,0,0,0,7445,18534,7000,0,0,0,99,0,0,Wood
