city,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Aailndia,132743.0,126037.0,121485.0,117435.0,107984.0,100747.0,94523.0,85893.0,80325.0,74618.0,72503.0,70556.0,69008.0,66942.0,65806.0,65177.0,64052.0,63043.0,61533.0,60188.0,58964.0,57544.0,56941.0
Abadia de Gois,1331.0,1278.0,1259.0,1240.0,1223.0,1217.0,1207.0,1195.0,1181.0,1175.0,1167.0,1165.0,1157.0,1145.0,1140.0,1134.0,1132.0,1132.0,1130.0,1117.0,1110.0,1105.0,1099.0
Abadia dos Dourados,14181.0,14034.0,13916.0,13741.0,13590.0,13311.0,13111.0,12950.0,12807.0,12690.0,12584.0,12513.0,12474.0,12400.0,12363.0,12301.0,12195.0,12144.0,12063.0,11997.0,11964.0,11945.0,11906.0
Abadinia,22677.0,22293.0,21930.0,21590.0,21118.0,20425.0,19907.0,19668.0,19505.0,19363.0,19181.0,19019.0,18831.0,18674.0,18520.0,18363.0,18213.0,18130.0,17935.0,17727.0,17592.0,17498.0,17425.0
Abaet,43329.0,42542.0,41444.0,40546.0,39914.0,39398.0,38609.0,37824.0,37051.0,36360.0,35791.0,35008.0,34347.0,33727.0,33073.0,32573.0,32053.0,31763.0,31366.0,30907.0,30458.0,30220.0,30100.0
Abaetetuba,94131.0,94073.0,94124.0,93870.0,93594.0,93244.0,92963.0,92660.0,91186.0,89196.0,87479.0,86286.0,85683.0,85369.0,84748.0,83682.0,82995.0,82519.0,81760.0,81014.0,80665.0,80235.0,80051.0
Abel Figueiredo,14197.0,13901.0,13600.0,13281.0,12578.0,11825.0,11266.0,10954.0,10486.0,10106.0,9798.0,9577.0,9453.0,28477.0,28260.0,28403.0,28039.0,27898.0,8684.0,8415.0,7927.0,7704.0,7586.0
Abreulndia,144631.0,142787.0,140546.0,139038.0,137445.0,135604.0,132654.0,129532.0,127149.0,124987.0,122622.0,120827.0,119451.0,117025.0,113596.0,110696.0,107207.0,104428.0,102559.0,100694.0,99197.0,98542.0,98141.0
Acar,271113.0,268085.0,264202.0,259396.0,254682.0,248986.0,244235.0,240374.0,236589.0,231399.0,226531.0,222634.0,219623.0,218051.0,215749.0,213225.0,210633.0,209027.0,205464.0,199785.0,196737.0,194961.0,193261.0
Acorizal,62284.0,60456.0,59168.0,58281.0,57685.0,56998.0,56327.0,55769.0,55314.0,54687.0,53921.0,53444.0,52973.0,52480.0,51952.0,51318.0,50467.0,49803.0,49162.0,48600.0,48093.0,47811.0,47682.0
